,Player,Year,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%
538,Kyle Singer,2005,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
539,Martin Hutton,2005,KC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
540,Michael Cardenas,2005,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
541,Michael Ueltschey,2005,MET,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
542,Noah Palmer,2005,RSL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
543,Robby Fulton,2005,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
544,Shaun Kalnasy,2005,CHV,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
545,T.J. Tomasso,2005,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
546,William Hesmer,2005,KC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
547,Winston Marshall,2005,DAL,D,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
548,Matt Pickens,2005,CHI,GK,5,3,298,15,10,4,1.21,0/0,2,2,1,0,40,67
549,Matt Jordan,2005,CLB,GK,2,2,180,16,13,3,1.5,1/2,1,0,1,0,50,81
550,Troy Perkins,2005,DC,GK,2,2,180,8,5,2,1.0,1/1,1,1,0,0,50,63
551,Dario Sala,2005,DAL,GK,1,1,90,2,2,0,0.0,0/0,0,0,1,1,0,100
552,Doug Warren,2005,NE,GK,2,1,96,7,4,2,1.88,1/1,1,0,0,0,50,57
553,Steve Cronin,2005,LA,GK,1,1,90,5,3,2,2.0,0/0,0,0,1,0,0,60
554,Andrew Terris,2005,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
555,Andrew Weber,2005,DC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
556,Bouna Coundoul,2005,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
557,Brian Kamler,2005,RSL,M,1,0,8,0,0,0,0.0,0/0,0,0,0,0,0,0
558,Chris Gomez,2005,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
559,Clint Baumstark,2005,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
560,Javier Barragan,2005,CHV,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
561,Jon Conway,2005,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
562,Josh Saunders,2005,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
563,Kyle Singer,2005,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
564,Martin Hutton,2005,KC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
565,Michael Cardenas,2005,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
566,Michael Ueltschey,2005,MET,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
567,Noah Palmer,2005,RSL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
568,Robby Fulton,2005,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
569,Shaun Kalnasy,2005,CHV,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
570,T.J. Tomasso,2005,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
571,William Hesmer,2005,KC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
572,Winston Marshall,2005,DAL,D,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
573,Matt Reis,2006,NE,GK,32,32,2880,182,141,35,1.09,1/3,12,8,12,10,38,77
574,Pat Onstad,2006,HOU,GK,32,32,2880,132,85,40,1.25,3/3,11,8,13,5,34,64
575,Scott Garlick,2006,RSL,GK,31,31,2745,158,108,43,1.41,1/2,10,12,9,4,32,68
576,Troy Perkins,2006,DC,GK,30,30,2700,140,100,34,1.13,8/8,15,6,9,8,50,71
577,Bo Oshoniyi,2006,KC,GK,29,29,2610,138,95,41,1.41,5/6,9,12,8,5,31,69
578,Dario Sala,2006,DAL,GK,28,28,2475,129,93,34,1.24,1/1,14,10,4,5,50,72
579,Joe Cannon,2006,COL,GK,28,28,2440,146,99,42,1.55,3/4,9,11,7,7,32,68
580,Kevin Hartman,2006,LA,GK,28,28,2520,120,88,32,1.14,2/3,10,12,6,9,36,73
581,Zach Thornton,2006,CHI,GK,24,24,2160,118,86,30,1.25,2/3,8,8,8,7,33,73
582,Tony Meola,2006,NY,GK,20,20,1800,120,91,29,1.45,1/1,2,9,9,5,10,76
583,Preston Burpo,2006,CHV,GK,19,19,1710,87,58,23,1.21,1/1,7,3,9,5,37,67
584,Brad Guzan,2006,CHV,GK,13,13,1170,70,49,19,1.46,1/1,3,6,4,5,23,70
585,Jon Conway,2006,NY,GK,12,12,1080,67,54,12,1.0,3/3,7,2,3,5,58,81
586,Bill Gaudette,2006,CLB,GK,11,11,990,60,45,13,1.18,0/1,3,5,3,3,27,75
587,Noah Palmer,2006,CLB,GK,10,10,900,56,40,13,1.3,0/0,1,5,4,1,10,71
588,Jon Busch,2006,CLB,GK,8,8,715,45,34,9,1.13,0/0,3,3,2,3,38,76
589,Matt Pickens,2006,CHI,GK,8,8,720,57,47,11,1.38,1/1,5,3,0,1,63,82
590,Bouna Coundoul,2006,COL,GK,5,4,440,22,15,7,1.43,1/1,2,2,1,2,40,68
591,Shaka Hislop,2006,DAL,GK,4,4,360,25,13,10,2.5,0/0,2,2,0,0,50,52
592,Steve Cronin,2006,LA,GK,4,4,360,16,11,5,1.25,0/0,1,3,0,0,25,69
593,William Hesmer,2006,KC,GK,3,3,270,12,9,4,1.33,0/0,1,2,0,1,33,75
594,Andy Gruenebaum,2006,CLB,GK,3,2,185,14,12,2,0.97,0/0,1,1,0,0,33,86
595,Nick Rimando,2006,DC,GK,2,2,180,10,6,4,2.0,0/1,0,1,1,0,0,60
596,Dan Popik,2006,CLB,GK,1,1,90,11,7,5,5.0,1/1,0,1,0,0,0,64
597,Jay Nolly,2006,RSL,GK,2,1,134,13,7,6,4.03,0/0,0,1,0,0,0,54
598,Shaka Hislop,2006,DAL,GK,4,4,360,25,13,10,2.5,0/0,2,2,0,0,50,52
599,Steve Cronin,2006,LA,GK,4,4,360,16,11,5,1.25,0/0,1,3,0,0,25,69
600,William Hesmer,2006,KC,GK,3,3,270,12,9,4,1.33,0/0,1,2,0,1,33,75
601,Andy Gruenebaum,2006,CLB,GK,3,2,185,14,12,2,0.97,0/0,1,1,0,0,33,86
602,Nick Rimando,2006,DC,GK,2,2,180,10,6,4,2.0,0/1,0,1,1,0,0,60
603,Dan Popik,2006,CLB,GK,1,1,90,11,7,5,5.0,1/1,0,1,0,0,0,64
604,Jay Nolly,2006,RSL,GK,2,1,134,13,7,6,4.03,0/0,0,1,0,0,0,54
605,Chase Harrison,2006,RSL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
606,Chris Dunsheath,2006,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
607,David Mahoney,2006,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
608,Dominik Jakubek,2006,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
609,Doug Warren,2006,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
610,Eric Kronberg,2006,KC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
611,Jeff Cassar,2006,DAL,GK,1,0,44,3,3,0,0.0,0/0,0,0,0,0,0,100
612,Jonny Walker,2006,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
613,Josh Saunders,2006,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
614,Martin Hutton,2006,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
615,Matt Jordan,2006,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
616,Michael Behonick,2006,NY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
617,Nick Armington,2006,RSL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
618,Peter Dzubay,2006,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
619,Ray Burse,2006,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
620,Ryan McIntosh,2006,DC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
621,T.J. Tomasso,2006,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
622,Zach Wells,2006,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
623,Bouna Coundoul,2007,COL,GK,30,30,2668,158,120,32,1.08,2/2,9,12,8,9,30,76
624,Kevin Hartman,2007,KC,GK,30,30,2700,159,110,45,1.5,6/7,11,12,7,5,37,69
625,Matt Reis,2007,NE,GK,30,30,2700,169,120,43,1.43,3/3,14,8,8,10,47,71
626,Joe Cannon,2007,LA,GK,29,29,2610,171,119,46,1.59,4/5,9,13,7,5,31,70
627,Troy Perkins,2007,DC,GK,29,29,2610,155,117,32,1.1,1/3,16,6,7,8,55,75
628,Brad Guzan,2007,CHV,GK,27,27,2430,119,87,25,0.93,2/3,14,6,7,13,52,73
629,Matt Pickens,2007,CHI,GK,27,27,2430,137,102,31,1.15,4/4,9,8,10,10,33,74
630,Nick Rimando,2007,RSL,GK,27,27,2430,191,146,37,1.37,4/6,6,13,8,7,22,76
631,Pat Onstad,2007,HOU,GK,27,27,2418,109,85,22,0.82,1/2,13,8,6,11,48,78
632,William Hesmer,2007,CLB,GK,20,20,1800,99,71,29,1.45,2/3,8,7,5,5,40,72
633,Dario Sala,2007,DAL,GK,18,18,1620,97,64,29,1.61,2/2,8,7,3,5,44,66
634,Ronald Waterreus,2007,NY,GK,18,18,1557,89,59,31,1.79,3/3,6,6,5,5,33,66
635,Jon Conway,2007,NY,GK,14,12,1142,79,57,14,1.1,1/2,6,5,2,4,43,72
636,Kenny Stamatopoulos,2007,TOR,GK,12,12,1080,61,41,20,1.67,4/4,1,8,3,2,8,67
637,Andy Gruenebaum,2007,CLB,GK,10,10,900,53,35,15,1.5,0/0,1,4,5,3,10,66
638,Greg Sutton,2007,TOR,GK,8,8,720,53,36,15,1.88,2/2,2,5,1,1,25,68
639,Srdjan Djekanovic,2007,TOR,GK,8,7,635,34,22,9,1.28,1/1,2,3,2,2,25,65
640,Ray Burse,2007,DAL,GK,6,6,540,29,23,6,1.0,1/1,3,2,1,2,50,79
641,Shaka Hislop,2007,DAL,GK,6,6,540,32,23,9,1.5,0/0,2,3,1,0,33,72
642,Chris Seitz,2007,RSL,GK,3,3,270,14,6,8,2.67,0/0,0,2,1,0,0,43
643,Jon Busch,2007,CHI,GK,3,3,270,20,15,5,1.67,2/2,1,2,0,1,33,75
644,Preston Burpo,2007,CHV,GK,3,3,270,16,13,3,1.0,0/0,1,1,1,1,33,81
645,Zach Wells,2007,HOU,GK,4,3,282,9,8,1,0.32,1/1,2,0,1,2,50,89
646,Sam Reynolds,2007,TOR,GK,2,2,175,11,9,2,1.03,1/1,1,0,1,0,50,82
647,David Monsalve,2007,TOR,GK,1,1,90,10,7,3,3.0,0/0,0,1,0,0,0,70
648,Chris Seitz,2007,RSL,GK,3,3,270,14,6,8,2.67,0/0,0,2,1,0,0,43
649,Jon Busch,2007,CHI,GK,3,3,270,20,15,5,1.67,2/2,1,2,0,1,33,75
650,Preston Burpo,2007,CHV,GK,3,3,270,16,13,3,1.0,0/0,1,1,1,1,33,81
651,Zach Wells,2007,HOU,GK,4,3,282,9,8,1,0.32,1/1,2,0,1,2,50,89
652,Sam Reynolds,2007,TOR,GK,2,2,175,11,9,2,1.03,1/1,1,0,1,0,50,82
653,David Monsalve,2007,TOR,GK,1,1,90,10,7,3,3.0,0/0,0,1,0,0,0,70
654,Jay Nolly,2007,DC,GK,1,1,90,9,7,2,2.0,0/0,0,1,0,0,0,78
655,Steve Cronin,2007,LA,GK,1,1,90,8,6,2,2.0,0/0,0,1,0,0,0,75
656,Bill Gaudette,2007,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
657,Boris Pardo,2007,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
658,Brad Knighton,2007,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
659,Chris Konopka,2007,KC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
660,Danny Cepero,2007,NY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
661,Doug Warren,2007,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
662,Eric Kronberg,2007,KC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
663,Jordan James,2007,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
664,Justin Hughes,2007,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
665,Justin Myers,2007,CHV,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
666,Kyle Reynish,2007,RSL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
667,Lance Friesz,2007,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
668,Matt Wideman,2007,RSL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
669,Nick Noble,2007,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
670,Shawn Crowe,2007,DC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
671,Tomer Chencinski,2007,TOR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
672,Zach Thornton,2007,COL,GK,1,0,32,3,1,2,5.63,0/0,0,1,0,0,0,33
673,Joe Cannon,2008,SJ,GK,30,30,2700,166,124,38,1.27,3/5,8,13,9,9,27,75
674,Jon Busch,2008,CHI,GK,30,30,2700,156,122,33,1.1,0/1,13,10,7,10,43,78
675,Kevin Hartman,2008,KC,GK,30,30,2700,162,117,39,1.3,3/3,11,10,9,10,37,72
676,Nick Rimando,2008,RSL,GK,30,30,2700,140,96,39,1.3,4/4,10,10,10,8,33,69
677,William Hesmer,2008,CLB,GK,29,29,2610,132,97,33,1.14,2/5,17,6,6,10,59,73
678,Dario Sala,2008,DAL,GK,28,28,2520,131,92,37,1.32,1/1,8,8,12,7,29,70
679,Jon Conway,2008,NY,GK,28,28,2520,146,98,42,1.5,2/3,9,10,9,7,32,67
680,Matt Reis,2008,NE,GK,28,28,2485,150,107,38,1.38,3/4,11,11,6,6,39,71
681,Greg Sutton,2008,TOR,GK,24,24,2160,160,116,35,1.46,6/7,7,10,7,6,29,73
682,Pat Onstad,2008,HOU,GK,24,24,2098,105,76,24,1.03,0/1,10,4,9,7,42,72
683,Steve Cronin,2008,LA,GK,22,22,1935,141,92,44,2.05,3/3,6,9,6,2,27,65
684,Bouna Coundoul,2008,COL,GK,17,17,1530,77,54,21,1.24,3/3,6,8,3,5,35,70
685,Zach Wells,2008,DC,GK,17,17,1530,85,56,28,1.65,0/0,8,8,1,1,47,66
686,Brad Guzan,2008,CHV,GK,15,15,1350,71,48,20,1.33,1/1,6,5,4,4,40,68
687,Preston Burpo,2008,COL,GK,13,13,1170,63,37,24,1.85,1/2,5,6,2,3,38,59
688,Louis Crayton,2008,DC,GK,12,12,1080,64,43,19,1.58,0/0,3,6,3,4,25,67
689,Dan Kennedy,2008,CHV,GK,9,8,699,33,23,8,1.03,1/2,4,3,0,3,44,70
690,Zach Thornton,2008,CHV,GK,8,7,651,32,16,13,1.8,1/1,2,3,3,1,25,50
691,Brian Edwards,2008,TOR,GK,6,6,540,31,23,8,1.33,0/0,2,3,1,2,33,74
692,Tony Caig,2008,HOU,GK,7,6,602,36,24,8,1.2,0/0,3,1,3,3,43,67
693,Josh Wicks,2008,LA,GK,6,5,495,33,20,12,2.18,0/0,1,2,3,0,17,61
694,Josh Saunders,2008,LA,GK,3,3,270,13,8,6,2.0,1/1,1,2,0,0,33,62
695,Danny Cepero,2008,NY,GK,2,2,180,11,5,6,3.0,0/0,1,1,0,0,50,45
696,Doug Warren,2008,NE,GK,3,2,215,10,5,5,2.09,0/0,1,0,1,0,33,50
697,Ray Burse,2008,DAL,GK,2,2,180,16,12,4,2.0,1/1,0,2,0,0,0,75
698,Andy Gruenebaum,2008,CLB,GK,1,1,90,5,2,3,3.0,0/0,0,1,0,0,0,40
699,Jose Carvallo,2008,DC,GK,1,1,90,6,2,4,4.0,0/0,0,1,0,0,0,33
700,Andrew Kartunen,2008,KC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
701,Boris Pardo,2008,KC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
702,Brad Knighton,2008,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
703,Caleb Patterson-Sewell,2008,NY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
704,Charles Alamo,2008,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
705,Chris Seitz,2008,RSL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
706,Chris Sharpe,2008,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
707,Corbin Waller,2008,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
708,Dan Benton,2008,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
709,David Monsalve,2008,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
710,Eric Kronberg,2008,KC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
711,James Thorpe,2008,DC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
712,Josh Lambo,2008,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
713,Justin Hughes,2008,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
714,Kenny Schoeni,2008,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
715,Kyle Reynish,2008,RSL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
716,Lance Parker,2008,CHV,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
717,Michael Gustavson,2008,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
718,Mike Graczyk,2008,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
719,Nick Noble,2008,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
720,Terry Boss,2008,NY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
721,Tyler Kettering,2008,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
722,Vito Higgins,2008,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
723,Andy Gruenebaum,2008,CLB,GK,1,1,90,5,2,3,3.0,0/0,0,1,0,0,0,40
724,Jose Carvallo,2008,DC,GK,1,1,90,6,2,4,4.0,0/0,0,1,0,0,0,33
725,Andrew Kartunen,2008,KC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
726,Boris Pardo,2008,KC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
727,Brad Knighton,2008,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
728,Caleb Patterson-Sewell,2008,NY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
729,Charles Alamo,2008,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
730,Chris Seitz,2008,RSL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
731,Chris Sharpe,2008,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
732,Corbin Waller,2008,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
733,Dan Benton,2008,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
734,David Monsalve,2008,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
735,Eric Kronberg,2008,KC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
736,James Thorpe,2008,DC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
737,Josh Lambo,2008,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
738,Justin Hughes,2008,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
739,Kenny Schoeni,2008,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
740,Kyle Reynish,2008,RSL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
741,Lance Parker,2008,CHV,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
742,Michael Gustavson,2008,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
743,Mike Graczyk,2008,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
744,Nick Noble,2008,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
745,Terry Boss,2008,NY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
746,Tyler Kettering,2008,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
747,Vito Higgins,2008,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
748,Jon Busch,2009,CHI,GK,30,30,2700,136,103,34,1.13,5/5,11,7,12,10,37,76
749,Kevin Hartman,2009,KC,GK,30,30,2700,153,105,42,1.4,3/4,8,13,9,7,27,69
750,Pat Onstad,2009,HOU,GK,30,30,2700,121,89,29,0.97,2/4,13,8,9,10,43,74
751,Kasey Keller,2009,SEA,GK,29,29,2549,108,78,26,0.92,1/3,12,5,11,10,41,72
752,Joe Cannon,2009,SJ,GK,28,28,2520,147,97,47,1.68,3/3,6,14,8,3,21,66
753,Zach Thornton,2009,CHV,GK,27,27,2385,111,83,23,0.87,2/2,12,9,6,12,44,75
754,Donovan Ricketts,2009,LA,GK,26,26,2274,112,82,26,1.03,4/5,10,5,10,9,38,73
755,Nick Rimando,2009,RSL,GK,26,26,2285,108,73,29,1.14,0/2,10,10,6,9,38,68
756,Stefan Frei,2009,TOR,GK,26,26,2295,141,98,38,1.49,3/4,9,9,7,5,35,70
757,Matt Reis,2009,NE,GK,24,24,2160,140,114,23,0.96,2/3,10,8,6,8,42,81
758,Josh Wicks,2009,DC,GK,19,19,1672,104,78,26,1.4,4/5,5,5,8,5,26,75
759,Matt Pickens,2009,COL,GK,19,19,1710,63,39,22,1.16,4/4,9,6,4,7,47,62
760,William Hesmer,2009,CLB,GK,19,19,1710,86,68,18,0.95,0/0,9,4,6,7,47,79
761,Ray Burse,2009,DAL,GK,17,16,1503,92,62,27,1.62,2/2,4,8,5,1,24,67
762,Dario Sala,2009,DAL,GK,14,14,1195,63,43,20,1.51,2/2,7,5,1,4,50,68
763,Danny Cepero,2009,NY,GK,13,13,1088,85,62,21,1.74,0/1,2,8,3,0,15,73
764,Preston Burpo,2009,COL,GK,11,11,990,41,23,16,1.45,1/1,1,4,6,1,9,56
765,Andy Gruenebaum,2009,CLB,GK,10,10,900,36,21,12,1.2,1/2,4,2,4,1,40,58
766,Jon Conway,2009,CHV,GK,9,9,810,51,33,16,1.78,4/4,1,7,1,1,11,65
767,Bouna Coundoul,2009,NY,GK,8,8,720,46,32,10,1.25,1/2,2,4,2,2,25,70
768,Brad Knighton,2009,NE,GK,6,6,540,49,36,14,2.33,0/0,1,2,3,0,17,73
769,Louis Crayton,2009,DC,GK,6,6,540,31,21,8,1.33,0/0,2,1,3,1,33,68
770,Chris Seitz,2009,RSL,GK,4,4,360,20,13,5,1.25,1/1,1,2,1,1,25,65
771,Josh Saunders,2009,LA,GK,6,4,426,18,12,5,1.06,1/1,2,1,2,2,33,67
772,Brian Edwards,2009,TOR,GK,3,3,270,17,11,6,2.0,1/1,1,1,1,1,33,65
773,Josh Saunders,2009,LA,GK,6,4,426,18,12,5,1.06,1/1,2,1,2,2,33,67
774,Brian Edwards,2009,TOR,GK,3,3,270,17,11,6,2.0,1/1,1,1,1,1,33,65
775,Lance Parker,2009,CHV,GK,4,3,315,19,11,8,2.29,1/1,1,2,0,1,25,58
776,Milos Kocic,2009,DC,GK,4,3,308,16,9,8,2.34,0/0,1,2,1,0,25,56
777,Andrew Weber,2009,SJ,GK,2,2,180,17,11,3,1.5,0/0,1,0,1,0,50,65
778,Steve Cronin,2009,DC,GK,2,2,180,12,9,2,1.0,1/1,1,0,1,1,50,75
779,Chris Eylander,2009,SEA,GK,1,1,90,3,1,2,2.0,0/0,0,1,0,0,0,33
780,Greg Sutton,2009,TOR,GK,2,1,135,5,3,2,1.33,0/0,0,1,1,0,0,60
781,Kenny Schoeni,2009,CLB,GK,1,1,90,5,4,1,1.0,0/0,0,1,0,0,0,80
782,Alec Dufty,2009,NY,GK,1,0,82,2,2,0,0.0,0/0,0,0,0,0,0,100
783,Andrew Dykstra,2009,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
784,Ben Dragavon,2009,SEA,GK,1,0,61,3,2,1,1.48,0/0,0,1,0,0,0,67
785,Bobby Shuttleworth,2009,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
786,Boris Pardo,2009,KC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
787,Dan Kennedy,2009,CHV,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
788,Eric Kronberg,2009,KC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
789,Josh Lambo,2009,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
790,Kyle Reynish,2009,RSL,GK,1,0,55,2,1,1,1.64,0/0,0,0,0,0,0,50
791,Mike Graczyk,2009,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
792,Nick Noble,2009,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
793,Steward Ceus,2009,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
794,Tally Hall,2009,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
795,Terry Boss,2009,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
796,Tyler Deric,2009,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
797,Zack Simmons,2009,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
798,Kasey Keller,2010,SEA,GK,30,30,2655,119,82,34,1.15,4/5,14,10,5,11,47,69
799,William Hesmer,2010,CLB,GK,30,30,2695,122,84,33,1.1,4/4,14,8,8,11,47,69
800,Donovan Ricketts,2010,LA,GK,29,29,2610,104,79,26,0.9,1/1,18,7,4,11,62,76
801,Jimmy Nielsen,2010,KC,GK,29,29,2610,114,80,34,1.17,1/1,10,13,6,10,34,70
802,Matt Pickens,2010,COL,GK,29,29,2610,120,88,32,1.1,4/4,11,8,10,7,38,73
803,Stefan Frei,2010,TOR,GK,28,28,2520,153,108,37,1.32,6/6,8,13,7,8,29,71
804,Bouna Coundoul,2010,NY,GK,27,27,2430,134,105,28,1.04,1/2,14,8,5,11,52,78
