,Player,Year,Club,Position,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%
199,Mike Ammann,1996,KC,GK,4,3,291,0,0,0,0,0,0/0,0,0,0.0,0.0
200,Jorge Flores,1996,DAL,M,8,3,292,0,0,3,2,0,0/0,0,0,0.0,0.0
201,Brandon Ward,1996,CLB,M,6,3,304,0,0,1,1,0,0/0,0,0,0.0,0.0
202,Chris Brauchle,1996,MET,M,5,3,323,0,0,0,0,0,0/0,0,0,0.0,0.0
203,Andrew Restrepo,1996,MET,D,5,4,343,0,0,0,0,0,0/0,0,0,0.0,0.0
204,Scott Budnick,1996,TB,GK,4,4,360,0,0,0,0,0,0/0,0,0,0.0,0.0
205,Nelson Vargas,1996,TB,M,9,4,443,0,0,9,2,0,0/0,0,0,0.0,0.0
206,Tom Lips,1996,NE,D,8,5,473,0,0,2,1,0,0/0,0,0,0.0,0.0
207,Mickey Kydes,1996,MET,M,11,7,556,0,0,8,5,0,0/0,0,0,0.0,0.0
208,John Diffley,1996,TB,D,13,6,574,0,0,1,1,0,0/0,0,0,0.0,0.0
209,David Winner,1996,CLB,GK,7,6,606,0,0,0,0,0,0/0,0,0,0.0,0.0
210,Tommy Reasoner,1996,KC,D,13,7,646,0,0,3,1,0,0/0,0,0,0.0,0.0
211,Brad Friedel,1996,CLB,GK,9,9,810,0,0,0,0,0,0/0,0,0,0.0,0.0
212,Dusty Hudock,1996,COL,GK,9,9,810,0,0,0,0,0,0/0,0,0,0.0,0.0
213,Richard Weiszmann,1996,NE,D,10,9,817,0,0,3,2,0,0/0,0,0,0.0,0.0
214,Ted Gillen,1996,MET,D,15,9,819,0,0,6,1,0,0/0,0,0,0.0,0.0
215,Brandon Pollard,1996,DAL,D,10,9,820,0,0,3,1,0,0/0,0,0,0.0,0.0
216,Shane Battelle,1996,CLB,M,15,10,841,0,0,4,1,0,0/0,0,0,0.0,0.0
217,David Kramer,1996,LA,GK,15,8,855,0,0,0,0,0,0/0,0,0,0.0,0.0
218,Brian Bates,1996,COL,M,19,7,896,0,0,6,3,0,0/0,0,0,0.0,0.0
219,Pat Harrington,1996,CLB,GK,12,11,924,0,0,0,0,0,0/0,0,0,0.0,0.0
220,Dominic Kinnear,1996,COL,M,14,11,973,0,0,12,4,0,0/0,0,0,0.0,0.0
221,Cristian da Silva,1996,MET,D,20,12,1158,0,0,13,1,0,0/0,0,0,0.0,0.0
222,Ed Puskarich,1996,DAL,D,18,14,1238,0,0,2,1,0,0/0,0,0,0.0,0.0
223,Mark Simpson,1996,DC,GK,15,14,1260,0,0,0,0,0,0/0,0,0,0.0,0.0
224,Erik Imler,1996,DC,M,19,15,1355,0,0,1,0,0,0/0,0,0,0.0,0.0
225,Shane Battelle,1996,CLB,M,15,10,841,0,0,4,1,0,0/0,0,0,0.0,0.0
226,David Kramer,1996,LA,GK,15,8,855,0,0,0,0,0,0/0,0,0,0.0,0.0
227,Brian Bates,1996,COL,M,19,7,896,0,0,6,3,0,0/0,0,0,0.0,0.0
228,Pat Harrington,1996,CLB,GK,12,11,924,0,0,0,0,0,0/0,0,0,0.0,0.0
229,Dominic Kinnear,1996,COL,M,14,11,973,0,0,12,4,0,0/0,0,0,0.0,0.0
230,Cristian da Silva,1996,MET,D,20,12,1158,0,0,13,1,0,0/0,0,0,0.0,0.0
231,Ed Puskarich,1996,DAL,D,18,14,1238,0,0,2,1,0,0/0,0,0,0.0,0.0
232,Mark Simpson,1996,DC,GK,15,14,1260,0,0,0,0,0,0/0,0,0,0.0,0.0
233,Erik Imler,1996,DC,M,19,15,1355,0,0,1,0,0,0/0,0,0,0.0,0.0
234,Derek Backman,1996,TB,M,25,14,1368,0,0,4,1,0,0/0,0,0,0.0,0.0
235,Ian Butterworth,1996,COL,D,17,17,1379,0,0,5,2,0,0/0,0,0,0.0,0.0
236,Oscar Draguicevich,1996,SJ,D,19,17,1416,0,0,4,0,0,0/0,0,0,0.0,0.0
237,Aidan Heaney,1996,NE,GK,19,18,1534,0,0,0,0,0,0/0,0,0,0.0,0.0
238,Jeff Zaun,1996,MET,D,21,19,1584,0,0,3,1,0,0/0,0,0,0.0,0.0
239,Matt Knowles,1996,MET,D,21,16,1589,0,0,8,2,0,0/0,0,0,0.0,0.0
240,Jeff Causey,1996,DC,GK,19,18,1620,0,0,0,0,0,0/0,0,0,0.0,0.0
241,Clint Peay,1996,DC,D,19,18,1665,0,0,6,2,0,0/0,0,0,0.0,0.0
242,Tom Liner,1996,SJ,GK,20,20,1712,0,0,0,0,0,0/0,0,0,0.0,0.0
243,Francis Okaroh,1996,NE,D,20,20,1777,0,0,0,0,0,0/0,0,0,0.0,0.0
244,Chris Woods,1996,COL,GK,23,23,2070,0,0,0,0,0,0/0,0,0,0.0,0.0
245,Janusz Michallik,1996,CLB,M,31,28,2490,0,0,14,2,0,0/0,0,0,0.0,0.0
246,Frank Yallop,1996,TB,D,29,28,2513,0,0,3,0,0,0/0,0,0,0.0,0.0
247,Mark Dougherty,1996,TB,GK,28,28,2520,0,0,0,0,0,0/0,0,0,0.0,0.0
248,Tony Meola,1996,MET,GK,29,29,2610,0,0,0,0,0,0/0,0,0,0.0,0.0
249,Mark Dodd,1996,DAL,GK,31,31,2776,0,0,0,0,0,0/0,0,0,0.0,0.0
250,Jaime Moreno,1997,DC,F,20,20,1725,16,8,66,46,5,5/5,12,4,0.83,24.2
251,Raul Diaz Arce,1997,DC,F,22,20,1790,15,6,68,45,4,2/3,7,8,0.75,22.1
252,Giovanni Savarese,1997,MET,F,29,23,2069,14,4,49,27,3,0/0,9,5,0.61,28.6
