,Player,Year,Club,Position,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%
264,Gilmar,1997,TB,M-F,16,16,1213,8,6,39,18,4,0/0,4,4,0.59,20.5
265,Jason Kreis,1997,DAL,M,32,21,2200,8,6,61,28,1,4/4,4,4,0.33,13.1
266,Paul Bravo,1997,COL,M,30,27,2445,8,6,63,28,4,0/1,6,2,0.29,12.7
267,Pete Marino,1997,CLB,F,28,7,1229,8,4,38,24,0,0/2,5,3,0.59,21.1
268,Harut Karapetyan,1997,LA,F,30,23,1770,8,3,75,35,2,0/0,1,7,0.41,10.7
269,Eduardo Hurtado,1997,LA,F,22,21,1772,8,3,69,33,2,0/0,6,2,0.41,11.6
270,Chris Henderson,1997,COL,M,30,29,2508,7,13,62,23,0,2/2,3,4,0.25,11.3
271,Cobi Jones,1997,LA,M,26,25,2228,7,9,53,35,3,0/0,5,2,0.28,13.2
272,Alberto Naveda,1997,NE,F,29,28,2394,7,6,69,38,2,1/2,5,2,0.26,10.1
273,Gerell Elliott,1997,DAL,F,28,15,1500,7,5,45,34,1,0/0,4,3,0.42,15.6
274,Imad Baba,1997,NE,M,29,28,2391,7,5,50,25,1,0/0,5,2,0.26,14.0
275,Alan Prampin,1997,TB,F,24,12,1212,7,3,26,17,1,0/0,3,4,0.52,26.9
276,Mauricio Cienfuegos,1997,LA,M,22,22,1980,6,12,41,22,1,4/4,4,2,0.27,14.6
277,Mo Johnston,1997,KC,M-F,29,29,2564,6,9,56,33,0,0/1,5,1,0.21,10.7
278,Brian McBride,1997,CLB,F,13,13,1069,6,6,40,18,2,2/2,4,2,0.51,15.0
279,Chiquinho Conde,1997,TB,F,25,25,2149,6,6,43,21,3,0/0,4,2,0.25,14.0
280,Peter Vermes,1997,COL,D,26,25,2206,6,4,29,12,2,0/0,3,3,0.24,20.7
281,Eric Wynalda,1997,SJ,F,14,9,923,5,11,28,14,1,2/2,1,4,0.49,17.9
282,Tony Sanneh,1997,DC,D,29,28,2274,5,11,39,19,2,0/0,1,4,0.2,12.8
283,Steve Ralston,1997,TB,M,29,29,2493,5,11,42,19,2,0/0,4,1,0.18,11.9
284,John Harkes,1997,DC,M,25,23,2066,5,9,43,18,1,1/1,2,3,0.22,11.6
285,Giuseppe Galderisi,1997,NE,F,23,22,1726,5,8,49,21,1,0/0,3,2,0.26,10.2
286,Frank Klopas,1997,KC,F,27,24,1967,5,7,46,26,2,0/0,3,2,0.23,10.9
287,David Patino,1997,COL,M-F,23,22,1741,5,6,42,20,2,0/0,3,2,0.26,11.9
288,Wolde Harris,1997,COL,F,27,15,1484,5,5,41,19,2,1/1,5,0,0.3,12.2
289,Roy Wegerle,1997,DC,F,31,23,1931,5,4,35,20,1,1/1,4,1,0.23,14.3
290,Ivan McKinley,1997,NE,D-M,26,21,1981,5,4,38,18,0,0/0,2,3,0.23,13.2
291,Paul Wright,1997,KC,F,30,18,1646,5,3,31,22,0,0/0,3,2,0.27,16.1
292,A.J. Wood,1997,CLB,F,29,21,1835,5,3,52,19,1,0/0,4,1,0.25,9.6
293,Steve Trittschuh,1997,COL,D,29,29,2566,5,1,25,12,1,0/0,1,4,0.18,20.0
294,Adrian Paz,1997,COL,M,25,24,2055,4,11,42,17,0,0/0,4,0,0.18,9.5
295,Martin Machon,1997,LA,M,30,27,2437,4,6,51,27,1,0/0,4,0,0.15,7.8
296,Ben Iroha,1997,DC,M,21,18,1391,4,5,17,6,2,0/0,2,2,0.26,23.5
297,Shawn Medved,1997,SJ,M,31,15,1591,4,4,30,15,0,0/0,4,0,0.23,13.3
298,Martin Vasquez,1997,TB,M,28,28,2475,4,3,43,19,1,0/1,2,2,0.15,9.3
299,Joe-Max Moore,1997,NE,F,13,12,987,4,2,28,15,0,2/3,1,3,0.36,14.3
300,Thomas Dooley,1997,CLB,D,15,15,1310,4,1,26,15,1,0/0,3,1,0.27,15.4
301,Jorge Rodriguez,1997,DAL,M-D,24,21,1874,4,1,38,21,1,0/0,1,3,0.19,10.5
302,Matt McKeon,1997,KC,D,31,30,2737,4,1,15,7,1,0/0,3,1,0.13,26.7
303,Sam George,1997,TB,M,23,14,1327,4,0,18,10,1,0/0,3,1,0.27,22.2
304,Mike Sorber,1997,MET,M,22,22,1889,4,0,21,7,2,0/0,2,2,0.19,19.0
305,Carlos Valderrama,1997,TB,M,20,20,1740,3,19,22,9,0,1/1,3,0,0.16,13.6
306,Marco Etcheverry,1997,DC,M,20,19,1695,3,11,45,19,1,0/0,3,0,0.16,6.7
307,Robert Warzycha,1997,CLB,M,31,31,2722,3,11,92,29,2,0/0,3,0,0.1,3.3
308,Roberto Donadoni,1997,MET,M,32,31,2699,3,9,50,15,1,1/2,2,1,0.1,6.0
309,Brian Maisonneuve,1997,CLB,M,32,30,2734,3,9,52,23,0,1/1,2,1,0.1,5.8
310,Chris Armas,1997,LA,M,28,28,2307,3,5,21,9,1,0/0,3,0,0.12,14.3
311,Jesse Marsch,1997,DC,M,11,1,233,3,3,5,3,1,0/0,1,2,1.16,60.0
312,Nelson Vargas,1997,TB,M,21,9,967,3,2,21,6,0,0/1,1,2,0.28,14.3
313,Marcelo Carrera,1997,CLB,F,20,14,1224,3,2,26,11,1,0/0,1,2,0.22,11.5
314,Shaun Bartlett,1997,MET,F,23,15,1451,3,2,35,18,1,0/0,2,1,0.19,8.6
315,Troy Dayak,1997,SJ,D,21,21,1817,3,2,18,9,0,0/0,2,1,0.15,16.7
316,Eddie Pope,1997,DC,D,29,29,2513,3,2,12,4,0,0/0,3,0,0.11,25.0
317,Jose Vasquez,1997,LA,D,5,2,248,3,0,3,3,1,0/0,0,3,1.09,100.0
318,Evans Wise,1997,NE,M,22,8,979,3,0,20,9,0,0/0,3,0,0.28,15.0
319,Sean Henderson,1997,COL,M,25,19,1650,3,0,20,12,0,0/0,1,2,0.16,15.0
320,Sean Bowers,1997,KC,D,26,24,2017,3,0,15,8,1,0/0,2,1,0.13,20.0
321,Eddie Lewis,1997,SJ,M,29,26,2233,2,14,35,21,0,0/0,2,0,0.08,5.7
322,Miles Joseph,1997,MET,M,29,15,1745,2,10,29,15,0,0/0,0,2,0.1,6.9
323,John Maessner,1997,DC,M-D,32,20,2008,2,9,32,18,1,0/0,1,1,0.09,6.3
324,Richie Williams,1997,DC,M,30,29,2606,2,9,22,8,0,0/0,1,1,0.07,9.1
325,Alain Sutter,1997,DAL,M,21,21,1801,2,8,46,24,2,0/0,0,2,0.1,4.3
326,Christopher Sullivan,1997,SJ,M,24,8,1017,2,6,17,8,1,0/0,1,1,0.18,11.8
327,Mark Santel,1997,DAL,M,31,26,2470,2,6,12,5,0,0/0,2,0,0.07,16.7
328,Kris Kelderman,1997,DC,M,24,9,910,2,4,11,6,0,0/0,0,2,0.2,18.2
329,Tab Ramos,1997,MET,M,13,13,1006,2,4,12,4,1,0/0,2,0,0.18,16.7
330,John Kerr,1997,NE,F,19,14,1136,2,4,19,15,1,0/0,2,0,0.16,10.5
331,Doctor Khumalo,1997,CLB,M,18,18,1323,2,4,23,13,2,0/0,1,1,0.14,8.7
332,Daniel Peinado,1997,DAL,M,25,22,1870,2,4,13,9,0,0/0,1,1,0.1,15.4
333,Dominic Kinnear,1997,SJ,M,28,24,1939,2,4,17,6,0,0/0,2,0,0.09,11.8
334,Ross Paule,1997,COL,M,19,7,858,2,3,7,4,0,0/0,1,1,0.21,28.6
335,Marcelo Balboa,1997,COL,D,28,28,2520,2,3,44,13,0,0/0,0,2,0.07,4.5
336,Alexi Lalas,1997,NE,D,30,29,2607,2,3,24,10,0,0/0,1,1,0.07,8.3
337,Jason Farrell,1997,CLB,F,18,10,1027,2,2,25,8,0,0/0,2,0,0.18,8.0
338,Danny Pena,1997,LA,D,27,26,2230,2,2,31,12,1,0/0,0,2,0.08,6.5
339,Wade Webber,1997,DAL,D,18,18,1588,2,1,7,3,0,0/0,1,1,0.11,28.6
340,Todd Yeagley,1997,CLB,M,27,22,1997,2,1,10,5,0,0/0,1,1,0.09,20.0
341,John Doyle,1997,SJ,D,27,27,2376,2,1,21,12,1,0/0,2,0,0.08,9.5
342,Mark Semioli,1997,MET,D,29,28,2381,2,1,12,4,0,0/0,1,1,0.08,16.7
343,Ted Chronopoulos,1997,NE,D,30,30,2624,2,1,30,13,1,0/0,2,0,0.07,6.7
344,Frankie Hejduk,1997,TB,D,23,22,1942,1,6,20,10,1,0/0,1,0,0.05,5.0
345,Jorge Salcedo,1997,CLB,M,28,26,2240,1,5,21,4,0,0/0,0,1,0.04,4.8
346,Brian Kelly,1997,MET,M,21,14,1354,1,4,23,9,0,0/0,0,1,0.07,4.3
347,Ted Eck,1997,DAL,M-F,30,22,1839,1,4,27,11,0,0/0,0,1,0.05,3.7
348,Ryan Tinsley,1997,KC,D,31,29,2588,1,4,5,3,0,0/0,1,0,0.03,20.0
349,Temoc Suarez,1997,DAL,M,19,6,721,1,3,10,3,1,0/0,1,0,0.12,10.0
350,Istvan Urbanyi,1997,SJ,M,23,19,1555,1,3,22,9,0,0/0,1,0,0.06,4.5
351,Alejandro Farias,1997,NE,M,25,24,2070,1,3,11,5,0,0/0,1,0,0.04,9.1
352,Greg Vanney,1997,LA,D,28,27,2318,1,3,28,8,0,0/0,1,0,0.04,3.6
353,Jeff Agoos,1997,DC,D,29,27,2412,1,3,14,9,0,0/0,0,1,0.04,7.1
354,Edmundo Rodriguez,1997,KC,M,16,4,543,1,2,9,3,0,0/0,1,0,0.17,11.1
355,Branco,1997,MET,D,11,11,922,1,2,8,6,1,0/1,0,1,0.1,12.5
356,Paul Caligiuri,1997,LA,D,16,16,1406,1,2,9,7,0,0/0,0,1,0.06,11.1
357,Diego Sonora,1997,DAL,M-D,16,16,1421,1,2,9,4,0,0/0,0,1,0.06,11.1
358,Mike Lapper,1997,CLB,D,20,20,1785,1,2,12,4,0,0/0,0,1,0.05,8.3
359,Brian Bliss,1997,MET,D,28,24,2047,1,2,13,1,0,0/0,0,1,0.04,7.7
360,Michael Emenalo,1997,SJ,D,27,26,2283,1,2,10,4,0,0/0,0,1,0.04,10.0
361,Cle Kooiman,1997,TB,D,27,27,2296,1,2,10,5,0,0/0,1,0,0.04,10.0
362,Mike Clark,1997,CLB,D,31,28,2484,1,2,7,4,1,0/0,0,1,0.04,14.3
363,Zico,1997,SJ,F,7,3,257,1,1,4,3,0,0/0,1,0,0.35,25.0
364,Billy Thompson,1997,CLB,M,6,4,298,1,1,6,3,1,0/0,0,1,0.3,16.7
365,Paul Keegan,1997,NE,F,16,5,652,1,1,12,5,1,0/0,0,1,0.14,8.3
366,Jorge Flores,1997,DAL,M,12,8,667,1,1,6,3,1,0/0,0,1,0.13,16.7
367,Brian Johnson,1997,KC,M,14,10,951,1,1,11,6,0,0/0,0,1,0.09,9.1
368,Joao Batista,1997,TB,M,17,12,1051,1,1,6,3,0,0/0,0,1,0.09,16.7
369,Steve Rammel,1997,COL,F,21,11,1132,1,1,20,13,0,0/0,0,1,0.08,5.0
370,Musa Shannon,1997,TB,M-F,5,1,148,1,0,2,1,0,0/0,0,1,0.61,50.0
371,Brian Kamler,1997,DC,M,5,1,161,1,0,5,3,0,0/0,0,1,0.56,20.0
372,Brian Taylor,1997,LA,M,11,5,413,1,0,9,4,0,0/0,1,0,0.22,11.1
373,Mario Gori,1997,DC,D,8,8,609,1,0,5,4,0,0/0,1,0,0.15,20.0
374,Clint Peay,1997,DC,D,13,8,814,1,0,6,3,0,0/0,1,0,0.11,16.7
375,Darren Sawatzky,1997,NE,F,26,5,895,1,0,16,7,1,0/0,1,0,0.1,6.3
376,Ansil Elcock,1997,CLB,D,26,21,1858,1,0,10,2,1,0/0,1,0,0.05,10.0
377,Arnold Cruz,1997,SJ,D,25,23,2058,0,3,17,6,0,0/0,0,0,0.0,0.0
378,Uche Okafor,1997,KC,D,27,27,2386,0,3,6,2,0,0/0,0,0,0.0,0.0
379,Tim Martin,1997,SJ,D,28,28,2422,0,3,7,2,0,0/0,0,0,0.0,0.0
380,Matt Kmosko,1997,COL,D,31,31,2760,0,3,5,3,0,0/0,0,0,0.0,0.0
381,Guillermo Jara,1997,LA,M,15,2,353,0,2,9,6,0,0/0,0,0,0.0,0.0
382,Marco Ferruzzi,1997,TB,M,19,5,578,0,2,15,5,0,0/0,0,0,0.0,0.0
383,Manny Lagos,1997,MET,M,15,15,1216,0,2,11,6,0,0/0,0,0,0.0,0.0
384,Sergio Miguez,1997,CLB,D,17,16,1361,0,2,1,0,0,0/0,0,0,0.0,0.0
385,Adam Frye,1997,TB,D,18,17,1437,0,2,6,1,0,0/0,0,0,0.0,0.0
386,Tote Castaneda,1997,COL,M,24,18,1642,0,2,10,3,0,0/0,0,0,0.0,0.0
387,Jorge Campos,1997,LA,GK,19,19,1687,0,2,0,0,0,0/0,0,0,0.0,0.0
388,David Vaudreuil,1997,DC,D,25,19,1790,0,2,4,2,0,0/0,0,0,0.0,0.0
389,Tom Soehn,1997,DAL,D,25,21,1948,0,2,7,4,0,0/0,0,0,0.0,0.0
390,Mike Burns,1997,NE,M,32,32,2880,0,2,36,18,0,0/0,0,0,0.0,0.0
391,Gerson Echeverry,1997,MET,F,1,1,74,0,1,1,0,0,0/0,0,0,0.0,0.0
392,Jose Botello,1997,LA,F,7,0,151,0,1,4,1,0,0/0,0,0,0.0,0.0
393,Daniel Guzman,1997,SJ,F,3,3,219,0,1,0,0,0,0/0,0,0,0.0,0.0
394,Peter Hattrup,1997,DAL,M,7,2,225,0,1,4,2,0,0/1,0,0,0.0,0.0
395,Rafael Amaya,1997,COL,D,7,3,236,0,1,2,1,0,0/0,0,0,0.0,0.0
396,Bill Harte,1997,TB,M,9,5,459,0,1,3,1,0,0/0,0,0,0.0,0.0
397,Cristian da Silva,1997,MET,D,14,6,592,0,1,7,1,0,0/0,0,0,0.0,0.0
398,Guido,1997,MET,M,9,9,792,0,1,7,1,0,0/0,0,0,0.0,0.0
399,Ezra Hendrickson,1997,LA,D,14,6,797,0,1,7,2,0,0/0,0,0,0.0,0.0
400,Steve Jolley,1997,LA,D,12,10,882,0,1,7,4,0,0/0,0,0,0.0,0.0
401,Oscar Draguicevich,1997,SJ,D,13,10,890,0,1,6,0,0,0/0,0,0,0.0,0.0
402,Braeden Cloutier,1997,MET,M,17,10,922,0,1,11,5,0,0/0,0,0,0.0,0.0
403,Tahj Jakins,1997,COL,D,19,12,1132,0,1,5,2,0,0/0,0,0,0.0,0.0
404,Scott Garlick,1997,DC,GK,14,13,1171,0,1,0,0,0,0/0,0,0,0.0,0.0
405,Andrew Lewis,1997,MET,M,19,15,1421,0,1,0,0,0,0/0,0,0,0.0,0.0
406,Richard Gough,1997,KC,D,17,17,1457,0,1,7,5,0,0/0,0,0,0.0,0.0
407,Brandon Pollard,1997,DAL,D,21,16,1526,0,1,0,0,0,0/0,0,0,0.0,0.0
408,Dave Salzwedel,1997,SJ,GK,20,18,1679,0,1,0,0,0,0/0,0,0,0.0,0.0
409,Marcus Hahnemann,1997,COL,GK,25,24,2157,0,1,0,0,0,0/0,0,0,0.0,0.0
410,Rhett Harty,1997,MET,D,26,26,2279,0,1,10,6,0,0/0,0,0,0.0,0.0
411,Mike Ammann,1997,KC,GK,29,29,2597,0,1,0,0,0,0/0,0,0,0.0,0.0
412,Brad Friedel,1997,CLB,GK,29,29,2609,0,1,0,0,0,0/0,0,0,0.0,0.0
413,Aidan Heaney,1997,CLB,GK,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
414,David Moxom,1997,TB,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
415,Diego Gutierrez,1997,KC,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
416,Dionysus Sebwe,1997,KC,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
417,Ike Udeh,1997,KC,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
418,Jeff Cassar,1997,DAL,GK,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
419,Marcus Roy,1997,DAL,GK,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
420,Esmundo Rodriguez,1997,SJ,M,1,0,5,0,0,0,0,0,0/0,0,0,0.0,0.0
421,Greg Lalas,1997,NE,D,2,0,6,0,0,0,0,0,0/0,0,0,0.0,0.0
422,Gabe Jones,1997,DAL,F,1,0,7,0,0,0,0,0,0/0,0,0,0.0,0.0
423,Nino Da Silva,1997,KC,F,1,0,12,0,0,0,0,0,0/0,0,0,0.0,0.0
424,Jamel Mitchell,1997,KC,M,1,0,16,0,0,0,0,0,0/0,0,0,0.0,0.0
425,Ubusuku Abukusumo,1997,CLB,D,1,0,19,0,0,0,0,0,0/0,0,0,0.0,0.0
426,Patrick Olalere,1997,NE,F,1,0,21,0,0,0,0,0,0/0,0,0,0.0,0.0
427,Juan Sastoque,1997,DAL,F,2,0,23,0,0,0,0,0,0/0,0,0,0.0,0.0
428,Rob Johnson,1997,MET,F,2,0,29,0,0,0,0,0,0/0,0,0,0.0,0.0
429,Kevin Wylie,1997,NE,F,3,0,31,0,0,0,0,0,0/0,0,0,0.0,0.0
430,Marco Rizi,1997,MET,D,1,0,33,0,0,1,0,0,0/0,0,0,0.0,0.0
431,Peter Lak,1997,LA,D,2,1,33,0,0,0,0,0,0/0,0,0,0.0,0.0
432,Dan Stebbins,1997,DAL,F,1,1,38,0,0,1,1,0,0/0,0,0,0.0,0.0
433,Altimont Butler,1997,CLB,M,1,1,45,0,0,0,0,0,0/0,0,0,0.0,0.0
434,Tayt Ianni,1997,SJ,D,1,1,45,0,0,0,0,0,0/0,0,0,0.0,0.0
435,Joey Thieman,1997,DC,M,3,0,58,0,0,0,0,0,0/0,0,0,0.0,0.0
436,Brian Haynes,1997,DAL,M,1,1,70,0,0,0,0,0,0/0,0,0,0.0,0.0
437,Steve Klein,1997,NE,M,4,0,73,0,0,0,0,0,0/0,0,0,0.0,0.0
438,Ante Razov,1997,LA,F,3,0,79,0,0,3,3,0,0/0,0,0,0.0,0.0
439,Todd Miller,1997,CLB,M,3,1,81,0,0,1,0,0,0/0,0,0,0.0,0.0
440,John Jones,1997,LA,M,5,0,91,0,0,5,3,0,0/0,0,0,0.0,0.0
441,Eric Quill,1997,TB,F,2,1,108,0,0,1,1,0,0/0,0,0,0.0,0.0
442,Jake Dancy,1997,KC,M,3,0,116,0,0,0,0,0,0/0,0,0,0.0,0.0
443,Gerardo Laterza,1997,LA,M,4,1,128,0,0,0,0,0,0/0,0,0,0.0,0.0
444,Scott Benedetti,1997,COL,F,3,1,133,0,0,2,0,0,0/0,0,0,0.0,0.0
445,John Diffley,1997,KC,D,6,2,148,0,0,0,0,0,0/0,0,0,0.0,0.0
446,Damian Silvera,1997,KC,M,3,1,166,0,0,1,0,0,0/0,0,0,0.0,0.0
447,Matt Knowles,1997,MET,D,4,2,173,0,0,1,1,0,0/0,0,0,0.0,0.0
448,Curt Onalfo,1997,SJ,D,6,3,179,0,0,0,0,0,0/0,0,0,0.0,0.0
449,Garth Lagerwey,1997,DAL,GK,2,2,180,0,0,0,0,0,0/0,0,0,0.0,0.0
450,Tom Liner,1997,SJ,GK,2,2,180,0,0,0,0,0,0/0,0,0,0.0,0.0
451,Brian Dunseth,1997,NE,D,5,1,185,0,0,0,0,0,0/0,0,0,0.0,0.0
452,Derek Backman,1997,TB,M,3,2,188,0,0,0,0,0,0/0,0,0,0.0,0.0
453,Silvio Rudman,1997,CLB,M,6,2,191,0,0,5,2,0,0/0,0,0,0.0,0.0
454,Zach Thornton,1997,MET,GK,3,2,197,0,0,0,0,0,0/0,0,0,0.0,0.0
455,Brad Wilson,1997,LA,D,3,3,222,0,0,2,1,0,0/0,0,0,0.0,0.0
456,Rob Jachym,1997,NE,F,9,1,247,0,0,10,5,0,0/0,0,0,0.0,0.0
457,David Winner,1997,CLB,GK,4,3,271,0,0,0,0,0,0/0,0,0,0.0,0.0
458,Carlos Parra,1997,MET,M,4,3,273,0,0,3,2,0,0/0,0,0,0.0,0.0
459,Chris Snitko,1997,KC,GK,5,3,282,0,0,0,0,0,0/0,0,0,0.0,0.0
460,Chris Martinez,1997,COL,D,8,3,330,0,0,3,1,0,0/0,0,0,0.0,0.0
461,Scott Coufal,1997,NE,GK,4,4,360,0,0,0,0,0,0/0,0,0,0.0,0.0
462,Janusz Michallik,1997,CLB,M,10,6,447,0,0,3,0,0,0/0,0,0,0.0,0.0
463,Kevin Hartman,1997,LA,GK,8,4,483,0,0,0,0,0,0/0,0,0,0.0,0.0
464,Richard Farrer,1997,DAL,D,8,6,503,0,0,1,1,0,0/0,0,0,0.0,0.0
465,Brian Bates,1997,COL,M,11,7,540,0,0,3,1,0,0/0,0,0,0.0,0.0
466,Joao Luiz,1997,MET,D,7,7,585,0,0,1,1,0,0/0,0,0,0.0,0.0
467,John DeBrito,1997,KC,D,10,8,621,0,0,5,3,0,0/0,0,0,0.0,0.0
468,Jeff Zaun,1997,MET,D,10,6,623,0,0,3,1,0,0/0,0,0,0.0,0.0
469,Mark Simpson,1997,DC,GK,7,7,629,0,0,0,0,0,0/0,0,0,0.0,0.0
470,Tom Presthus,1997,DC,GK,7,7,629,0,0,0,0,0,0/0,0,0,0.0,0.0
471,Paul Grafer,1997,COL,GK,9,8,723,0,0,0,0,0,0/0,0,0,0.0,0.0
472,Scott Budnick,1997,TB,GK,9,8,737,0,0,0,0,0,0/0,0,0,0.0,0.0
473,Erik Imler,1997,NE,M,15,9,855,0,0,3,1,0,0/0,0,0,0.0,0.0
474,Jeff Causey,1997,NE,GK,12,11,991,0,0,0,0,0,0/0,0,0,0.0,0.0
475,Jeff Zaun,1997,MET,D,10,6,623,0,0,3,1,0,0/0,0,0,0.0,0.0
476,Mark Simpson,1997,DC,GK,7,7,629,0,0,0,0,0,0/0,0,0,0.0,0.0
477,Tom Presthus,1997,DC,GK,7,7,629,0,0,0,0,0,0/0,0,0,0.0,0.0
478,Paul Grafer,1997,COL,GK,9,8,723,0,0,0,0,0,0/0,0,0,0.0,0.0
479,Scott Budnick,1997,TB,GK,9,8,737,0,0,0,0,0,0/0,0,0,0.0,0.0
480,Erik Imler,1997,NE,M,15,9,855,0,0,3,1,0,0/0,0,0,0.0,0.0
481,Jeff Causey,1997,NE,GK,12,11,991,0,0,0,0,0,0/0,0,0,0.0,0.0
482,Ramiro Corrales,1997,SJ,M,14,11,1033,0,0,10,4,0,0/0,0,0,0.0,0.0
483,Kerry Zavagnin,1997,MET,M,21,12,1089,0,0,8,3,0,0/0,0,0,0.0,0.0
484,Rob Smith,1997,CLB,M,25,8,1106,0,0,11,2,0,0/0,0,0,0.0,0.0
485,Eric Dade,1997,DAL,D,15,14,1306,0,0,4,2,0,0/0,0,0,0.0,0.0
486,Joey Martinez,1997,DAL,D,19,19,1503,0,0,2,2,0,0/0,0,0,0.0,0.0
487,Carlos Llamosa,1997,DC,D,25,20,1817,0,0,1,0,0,0/0,0,0,0.0,0.0
488,David Kramer,1997,SJ,GK,21,21,1831,0,0,1,1,0,0/0,0,0,0.0,0.0
489,Leonardo Squadrone,1997,NE,D,23,23,1881,0,0,5,1,0,0/0,0,0,0.0,0.0
490,Walter Zenga,1997,NE,GK,22,22,1980,0,0,0,0,0,0/0,0,0,0.0,0.0
491,Robin Fraser,1997,LA,D,24,24,2021,0,0,3,0,0,0/0,0,0,0.0,0.0
492,Steve Pittman,1997,KC,D,26,23,2068,0,0,13,3,0,0/0,0,0,0.0,0.0
493,Mark Dougherty,1997,TB,GK,26,24,2157,0,0,0,0,0,0/0,0,0,0.0,0.0
494,Mike Duhaney,1997,TB,D,27,25,2205,0,0,8,3,0,0/0,0,0,0.0,0.0
495,Frank Yallop,1997,TB,D,27,27,2430,0,0,6,1,0,0/0,0,0,0.0,0.0
496,Francis Okaroh,1997,NE,D,29,29,2528,0,0,1,1,0,0/0,0,0,0.0,0.0
497,Mark Dodd,1997,DAL,GK,30,30,2700,0,0,1,1,0,0/0,0,0,0.0,0.0
498,Tony Meola,1997,MET,GK,30,30,2700,0,0,0,0,0,0/0,0,0,0.0,0.0
499,Dan Calichman,1997,LA,D,32,32,2848,0,0,8,2,0,0/0,0,0,0.0,0.0
500,Jeff Zaun,1997,MET,D,10,6,623,0,0,3,1,0,0/0,0,0,0.0,0.0
501,Mark Simpson,1997,DC,GK,7,7,629,0,0,0,0,0,0/0,0,0,0.0,0.0
502,Tom Presthus,1997,DC,GK,7,7,629,0,0,0,0,0,0/0,0,0,0.0,0.0
503,Paul Grafer,1997,COL,GK,9,8,723,0,0,0,0,0,0/0,0,0,0.0,0.0
504,Scott Budnick,1997,TB,GK,9,8,737,0,0,0,0,0,0/0,0,0,0.0,0.0
505,Erik Imler,1997,NE,M,15,9,855,0,0,3,1,0,0/0,0,0,0.0,0.0
506,Jeff Causey,1997,NE,GK,12,11,991,0,0,0,0,0,0/0,0,0,0.0,0.0
507,Ramiro Corrales,1997,SJ,M,14,11,1033,0,0,10,4,0,0/0,0,0,0.0,0.0
508,Kerry Zavagnin,1997,MET,M,21,12,1089,0,0,8,3,0,0/0,0,0,0.0,0.0
509,Rob Smith,1997,CLB,M,25,8,1106,0,0,11,2,0,0/0,0,0,0.0,0.0
510,Eric Dade,1997,DAL,D,15,14,1306,0,0,4,2,0,0/0,0,0,0.0,0.0
511,Joey Martinez,1997,DAL,D,19,19,1503,0,0,2,2,0,0/0,0,0,0.0,0.0
512,Carlos Llamosa,1997,DC,D,25,20,1817,0,0,1,0,0,0/0,0,0,0.0,0.0
513,David Kramer,1997,SJ,GK,21,21,1831,0,0,1,1,0,0/0,0,0,0.0,0.0
514,Leonardo Squadrone,1997,NE,D,23,23,1881,0,0,5,1,0,0/0,0,0,0.0,0.0
515,Walter Zenga,1997,NE,GK,22,22,1980,0,0,0,0,0,0/0,0,0,0.0,0.0
516,Robin Fraser,1997,LA,D,24,24,2021,0,0,3,0,0,0/0,0,0,0.0,0.0
517,Steve Pittman,1997,KC,D,26,23,2068,0,0,13,3,0,0/0,0,0,0.0,0.0
518,Mark Dougherty,1997,TB,GK,26,24,2157,0,0,0,0,0,0/0,0,0,0.0,0.0
519,Mike Duhaney,1997,TB,D,27,25,2205,0,0,8,3,0,0/0,0,0,0.0,0.0
520,Frank Yallop,1997,TB,D,27,27,2430,0,0,6,1,0,0/0,0,0,0.0,0.0
521,Francis Okaroh,1997,NE,D,29,29,2528,0,0,1,1,0,0/0,0,0,0.0,0.0
522,Mark Dodd,1997,DAL,GK,30,30,2700,0,0,1,1,0,0/0,0,0,0.0,0.0
523,Tony Meola,1997,MET,GK,30,30,2700,0,0,0,0,0,0/0,0,0,0.0,0.0
524,Dan Calichman,1997,LA,D,32,32,2848,0,0,8,2,0,0/0,0,0,0.0,0.0
525,Stern John,1998,CLB,F,27,25,2170,26,5,116,47,6,1/1,20,6,1.08,22.4
526,Cobi Jones,1998,LA,M,24,24,2136,19,13,63,41,3,0/1,10,9,0.8,30.2
527,Roy Lassiter,1998,DC,F,31,29,2691,18,8,101,52,5,3/4,11,7,0.6,17.8
528,Raul Diaz Arce,1998,NE,F,32,32,2878,18,8,90,51,1,3/4,10,8,0.56,20.0
529,Welton,1998,LA,F,31,29,2435,17,11,63,37,3,0/0,8,9,0.63,27.0
530,Jaime Moreno,1998,DC,F,31,31,2610,16,11,87,48,2,3/5,8,8,0.55,18.4
531,Giovanni Savarese,1998,MET,F,30,25,2163,14,7,61,37,2,1/2,10,4,0.58,23.0
532,Mauricio Cienfuegos,1998,LA,M,30,30,2640,13,16,36,25,5,4/5,10,3,0.44,36.1
533,Ronald Cerritos,1998,SJ,F,31,30,2702,13,12,87,50,5,1/2,5,8,0.43,14.9
